,Ruby (Manik)
25,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-PREM-NEWBURMA-3-190405_1.jpg
26,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-LUX-INDIA-1-190405_1.jpg
27,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-LUX-INDIA-2-190405_1.jpg
28,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-LUX-INDIA-3-190405_1.jpg
29,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-LUX-INDIA-4-190405_1.jpg
30,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-LUX-INDIA-5-190405_1.jpg
31,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp123385-1-50723.jpg
32,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp123385-2-50723.jpg
33,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp123385-3-50723.jpg
34,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-MOZAM-PREM-1-190405_1.jpg
35,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-MOZAM-PREM-2-190405_1.jpg
36,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-MOZAM-PREM-3-190405_1.jpg
37,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-MOZAM-PREM-4-190405_1.jpg
38,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-MOZAM-PREM-5-190405_1.jpg
39,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-MOZAM-PREM-6-190405_1.jpg
40,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-MOZAM-PREM-7-190405_1.jpg
41,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-MOZAM-PREM-8-190405_1.jpg
42,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp41136-1-190224.jpg
43,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp41136-2-190224.jpg
44,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp41136-3-190224.jpg
45,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp97161-1-211122.jpg
46,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp97161-2-211122.jpg
47,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp97161-3-211122.jpg
48,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp132213-1-301123.jpg
49,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp132213-2-301123.jpg
50,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp132213-3-301123.jpg
51,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-LUX-NEWBURMA-1-190405_1.jpg
52,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-LUX-NEWBURMA-2-190405_1.jpg
53,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-LUX-NEWBURMA-3-190405_1.jpg
54,https://imgcdn1.gempundit.com/media/catalog/product/g/p1/gp50309-1-130521.jpg
55,https://imgcdn1.gempundit.com/media/catalog/product/g/p1/gp50309-2-130521.jpg
56,https://imgcdn1.gempundit.com/media/catalog/product/g/p1/gp50309-3-130521.jpg
57,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp104110-1-090922.jpg
58,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp104110-2-090922.jpg
59,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp104110-3-090922.jpg
60,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-PREM-NEWBURMA-1-190405_1.jpg
61,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-PREM-NEWBURMA-2-190405_1.jpg
62,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-PREM-NEWBURMA-3-190405_1.jpg
63,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-AFRICAN-PREMIUM-1-190405_1.jpg
64,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-AFRICAN-PREMIUM-2-190405_1.jpg
65,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-AFRICAN-PREMIUM-3-190405_1.jpg
66,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-AFRICAN-PREMIUM-4-190405_1.jpg
67,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-AFRICAN-PREMIUM-5-190405_1.jpg
68,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-ECO-NEWBURMA-1-190405_1.jpg
69,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-ECO-NEWBURMA-2-190405_1.jpg
70,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-ECO-NEWBURMA-3-190405_1.jpg
71,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp120907-1-190623.jpg
72,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp120907-2-190623.jpg
73,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp120907-3-190623.jpg
74,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp96544-1-180722.jpg
75,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp96544-2-180722.jpg
76,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp96544-3-180722.jpg
77,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp96744-1-150922.jpg
78,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-CLARITY-OLDBURMA-1-190405_1.jpg
79,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-MOZAM-PREM-1-190405_1.jpg
80,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-MOZAM-PREM-2-190405_1.jpg
81,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-MOZAM-PREM-3-190405_1.jpg
82,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-MOZAM-PREM-4-190405_1.jpg
83,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-MOZAM-PREM-5-190405_1.jpg
84,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-MOZAM-PREM-6-190405_1.jpg
85,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-MOZAM-PREM-7-190405_1.jpg
86,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-MOZAM-PREM-8-190405_1.jpg
87,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp112653-1-310323.jpg
88,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp112653-2-310323.jpg
89,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp120600-1-150124.jpg
90,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp120600-2-150124.jpg
91,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp120600-3-150124.jpg
92,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp123063-1-30723.jpg
93,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp123063-2-30723.jpg
94,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp123063-3-30723.jpg
95,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp104749-1-230922.jpg
96,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp104749-2-230922.jpg
97,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-AFRICAN-PREMIUM-1-190405_1.jpg
98,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-AFRICAN-PREMIUM-2-190405_1.jpg
99,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-AFRICAN-PREMIUM-3-190405_1.jpg
100,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-AFRICAN-PREMIUM-4-190405_1.jpg
101,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-AFRICAN-PREMIUM-5-190405_1.jpg
102,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-PREM-NEWBURMA-1-190405_1.jpg
103,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-PREM-NEWBURMA-2-190405_1.jpg
104,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-PREM-NEWBURMA-3-190405_1.jpg
105,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-LUX-INDIA-1-190405_1.jpg
106,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-LUX-INDIA-2-190405_1.jpg
107,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-LUX-INDIA-3-190405_1.jpg
108,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-LUX-INDIA-4-190405_1.jpg
109,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-LUX-INDIA-5-190405_1.jpg
110,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp114300-1-270423.jpg
111,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp114300-2-270423.jpg
112,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp114300-3-270423.jpg
113,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-BASIC-OLDBURMA-2-190405_1.jpg
114,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-BASIC-OLDBURMA-1-190405_1.jpg
115,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-ECO-OLDBURMA-1-190405_1.jpg
116,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-ECO-OLDBURMA-2-190405_1.jpg
117,https://imgcdn1.gempundit.com/media/catalog/product/g/e/gem-ruby-slux-india-1_1.jpg
118,https://imgcdn1.gempundit.com/media/catalog/product/g/e/gem-ruby-slux-india-2_1.jpg
119,https://imgcdn1.gempundit.com/media/catalog/product/g/e/gem-ruby-slux-india-3_1.jpg
120,https://imgcdn1.gempundit.com/media/catalog/product/g/e/gem-ruby-slux-india-6_1.jpg
121,https://imgcdn1.gempundit.com/media/catalog/product/g/e/gem-ruby-slux-india-5_1.jpg
122,https://imgcdn1.gempundit.com/media/catalog/product/g/e/gem-ruby-slux-india-4_1.jpg
123,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-ECO-OLDBURMA-1-190405_1.jpg
124,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-ECO-OLDBURMA-2-190405_1.jpg
125,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp103459-1-290922.jpg
126,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp103459-2-290922.jpg
127,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp101592-1-310822.jpg
128,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp101592-2-310822.jpg
129,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-ECO-OLDBURMA-1-190405_1.jpg
130,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-ECO-OLDBURMA-2-190405_1.jpg
131,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp131344-1-61123.jpg
132,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp131344-2-61123.jpg
133,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp131344-3-61123.jpg
134,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp123359-1-40723.jpg
135,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp123359-2-40723.jpg
136,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp123359-3-40723.jpg
137,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-ECO-OLDBURMA-1-190405_1.jpg
138,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-ECO-OLDBURMA-2-190405_1.jpg
139,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-PREM-NEWBURMA-1-190405_1.jpg
140,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-PREM-NEWBURMA-2-190405_1.jpg
141,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-PREM-NEWBURMA-3-190405_1.jpg
142,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-LUX-AFRICAN-1-190405_1.jpg
143,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-LUX-AFRICAN-2-190405_1.jpg
144,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-LUX-AFRICAN-3-190405_1.jpg
145,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-LUX-AFRICAN-4-190405_1.jpg
146,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-LUX-AFRICAN-5-190405_1.jpg
147,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp106304-1-151022.jpg
148,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp106304-2-151022.jpg
149,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp106304-3-151022.jpg
150,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-LUX-AFRICAN-1-190405_1.jpg
151,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-LUX-AFRICAN-2-190405_1.jpg
152,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-LUX-AFRICAN-3-190405_1.jpg
153,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-LUX-AFRICAN-4-190405_1.jpg
154,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-LUX-AFRICAN-5-190405_1.jpg
155,https://imgcdn1.gempundit.com/media/catalog/product/g/p1/gp59400-1-130521.jpg
156,https://imgcdn1.gempundit.com/media/catalog/product/g/p1/gp59400-2-130521.jpg
157,https://imgcdn1.gempundit.com/media/catalog/product/g/p1/gp59400-3-130521.jpg
158,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-ECO-NEWBURMA-1-190405_1.jpg
159,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-ECO-NEWBURMA-2-190405_1.jpg
160,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-ECO-NEWBURMA-3-190405_1.jpg
161,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-ECO-OLDBURMA-1-190405_1.jpg
162,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-ECO-OLDBURMA-2-190405_1.jpg
163,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-LUX-NEWBURMA-1-190405_1.jpg
164,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-LUX-NEWBURMA-2-190405_1.jpg
165,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-LUX-NEWBURMA-3-190405_1.jpg
166,https://imgcdn1.gempundit.com/media/catalog/product/g/e/gem-ruby-prem-india-1_1_1.jpg
167,https://imgcdn1.gempundit.com/media/catalog/product/g/e/gem-ruby-prem-india-2_1_1.jpg
168,https://imgcdn1.gempundit.com/media/catalog/product/g/e/gem-ruby-prem-india-8_1_1.jpg
169,https://imgcdn1.gempundit.com/media/catalog/product/g/e/gem-ruby-prem-india-7_1_1.jpg
170,https://imgcdn1.gempundit.com/media/catalog/product/g/e/gem-ruby-prem-india-4_1_1.jpg
171,https://imgcdn1.gempundit.com/media/catalog/product/g/e/gem-ruby-prem-india-3_1_1.jpg
172,https://imgcdn1.gempundit.com/media/catalog/product/g/e/gem-ruby-prem-india-5_1_1.jpg
173,https://imgcdn1.gempundit.com/media/catalog/product/g/e/gem-ruby-prem-india-6_1_1.jpg
174,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp40248-1-140923.jpg
175,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp40248-2-140923.jpg
176,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp40248-3-140923.jpg
177,https://imgcdn1.gempundit.com/media/catalog/product/g/e/gem-ruby-slux-india-1_1.jpg
178,https://imgcdn1.gempundit.com/media/catalog/product/g/e/gem-ruby-slux-india-2_1.jpg
179,https://imgcdn1.gempundit.com/media/catalog/product/g/e/gem-ruby-slux-india-3_1.jpg
180,https://imgcdn1.gempundit.com/media/catalog/product/g/e/gem-ruby-slux-india-6_1.jpg
181,https://imgcdn1.gempundit.com/media/catalog/product/g/e/gem-ruby-slux-india-5_1.jpg
182,https://imgcdn1.gempundit.com/media/catalog/product/g/e/gem-ruby-slux-india-4_1.jpg
183,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-LUX-INDIA-1-190405_1.jpg
184,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-LUX-INDIA-2-190405_1.jpg
185,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-LUX-INDIA-3-190405_1.jpg
186,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-LUX-INDIA-4-190405_1.jpg
187,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-LUX-INDIA-5-190405_1.jpg
188,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp93000-1-301221.jpg
189,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp93000-2-301221.jpg
190,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-COLOUR-CLARITY-OLDBURMA-1-190405_1.jpg
191,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-MOZAM-PREM-1-190405_1.jpg
192,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-MOZAM-PREM-2-190405_1.jpg
193,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-MOZAM-PREM-3-190405_1.jpg
194,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-MOZAM-PREM-4-190405_1.jpg
195,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-MOZAM-PREM-5-190405_1.jpg
196,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-MOZAM-PREM-6-190405_1.jpg
197,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-MOZAM-PREM-7-190405_1.jpg
198,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-MOZAM-PREM-8-190405_1.jpg
199,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-ECO-NEWBURMA-1-190405_1.jpg
200,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-ECO-NEWBURMA-2-190405_1.jpg
201,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-ECO-NEWBURMA-3-190405_1.jpg
202,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-PREM-NEWBURMA-1-190405_1.jpg
203,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-PREM-NEWBURMA-2-190405_1.jpg
204,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-PREM-NEWBURMA-3-190405_1.jpg
205,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-LUX-NEWBURMA-1-190405_1.jpg
206,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-LUX-NEWBURMA-2-190405_1.jpg
207,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-LUX-NEWBURMA-3-190405_1.jpg
208,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-MOZAM-PREM-1-190405_1.jpg
209,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-MOZAM-PREM-2-190405_1.jpg
210,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-MOZAM-PREM-3-190405_1.jpg
211,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-MOZAM-PREM-4-190405_1.jpg
212,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-MOZAM-PREM-5-190405_1.jpg
213,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-MOZAM-PREM-6-190405_1.jpg
214,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-MOZAM-PREM-7-190405_1.jpg
215,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-MOZAM-PREM-8-190405_1.jpg
216,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-ECO-OLDBURMA-1-190405_1.jpg
217,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-ECO-OLDBURMA-2-190405_1.jpg
218,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-LUX-INDIA-1-190405_1.jpg
219,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-LUX-INDIA-2-190405_1.jpg
220,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-LUX-INDIA-3-190405_1.jpg
221,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-LUX-INDIA-4-190405_1.jpg
222,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-LUX-INDIA-5-190405_1.jpg
223,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-CLARITY-OLDBURMA-1-190405_1.jpg
224,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-COLOUR-CLARITY-OLDBURMA-1-190405_1.jpg
225,https://imgcdn1.gempundit.com/media/catalog/product/g/e/gem-ruby-slux-india-1_1.jpg
226,https://imgcdn1.gempundit.com/media/catalog/product/g/e/gem-ruby-slux-india-2_1.jpg
227,https://imgcdn1.gempundit.com/media/catalog/product/g/e/gem-ruby-slux-india-3_1.jpg
228,https://imgcdn1.gempundit.com/media/catalog/product/g/e/gem-ruby-slux-india-6_1.jpg
229,https://imgcdn1.gempundit.com/media/catalog/product/g/e/gem-ruby-slux-india-5_1.jpg
230,https://imgcdn1.gempundit.com/media/catalog/product/g/e/gem-ruby-slux-india-4_1.jpg
231,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp121084-1-190623.jpg
232,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp121084-2-190623.jpg
233,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp121084-3-190623.jpg
234,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp39975-1-140923.jpg
235,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp39975-2-140923.jpg
236,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp39975-3-140923.jpg
237,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp132576-1-61223.jpg
238,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp132576-2-61223.jpg
239,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp132576-3-61223.jpg
240,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-CLARITY-OLDBURMA-1-190405_1.jpg
241,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp120006-1-150623.jpg
242,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp120006-2-150623.jpg
243,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp120006-3-150623.jpg
244,https://imgcdn1.gempundit.com/media/catalog/product/g/p1/gp59426-1-130521.jpg
245,https://imgcdn1.gempundit.com/media/catalog/product/g/p1/gp59426-2-130521.jpg
246,https://imgcdn1.gempundit.com/media/catalog/product/g/p1/gp59426-3-130521.jpg
247,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp96449-1-280622_1.jpg
248,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp96449-2-280622.jpg
249,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp96449-3-280622.jpg
250,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp101541-1-030822.jpg
251,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp101541-2-030822.jpg
252,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp101541-3-030822.jpg
253,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp133403-1-191223.jpg
254,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp133403-2-191223.jpg
255,https://imgcdn1.gempundit.com/media/catalog/product/g/p/gp133403-3-191223.jpg
256,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-PREM-OLDBURMA-1-190405_1.jpg
257,https://imgcdn1.gempundit.com/media/catalog/product/g/e/GEM-RUBY-PREM-OLDBURMA-2-190405_1.jpg
